Wyniki algorytmu genetycznego z optymalizacją parametrów
==================================================

Liczba miast: 80
Liczba pokoleń: 1500
Czas wykonania: 73.53 s

Parametry:
  population_size: 250
  elite_size: 2
  mutation_rate: 0.25
  generations: 1500
  tournament_size: 5
  crossover_type: PMX
  mutation_type: inversion
  selection_type: tournament

Najlepsza długość trasy: 765.95
Najlepsza wartość funkcji przystosowania: 0.0013055673
Średnia wartość funkcji przystosowania: 0.0012694482

Najlepsza trasa (sekwencja miast):
22, 32, 8, 23, 51, 13, 50, 64, 20, 76, 62, 11, 42, 66, 29, 74, 28, 49, 2, 7, 54, 72, 41, 39, 61, 18, 55, 30, 9, 65, 24, 10, 14, 38, 58, 6, 35, 15, 71, 48, 73, 19, 47, 31, 52, 75, 70, 77, 67, 44, 59, 46, 1, 40, 25, 17, 56, 26, 63, 60, 27, 57, 78, 37, 43, 4, 68, 12, 53, 0, 69, 79, 33, 16, 34, 5, 21, 3, 36, 45

Historia ewolucji (co 10 generacji):
Generacja,Najlepsza długość,Najlepsza funkcja przystosowania,Średnia funkcja przystosowania,Czas generacji (ms)
0,3702.18,0.0002701110,0.0002311035,75.14
10,3137.01,0.0003187747,0.0002779094,68.17
20,2876.15,0.0003476871,0.0003256775,64.83
30,2450.91,0.0004080123,0.0003679661,64.63
40,2145.08,0.0004661827,0.0004266533,64.34
50,1956.45,0.0005111296,0.0004955328,65.08
60,1794.55,0.0005572430,0.0005349326,65.35
70,1674.74,0.0005971083,0.0005632659,63.48
80,1585.14,0.0006308592,0.0006141548,62.64
90,1455.08,0.0006872475,0.0006633048,62.66
100,1382.70,0.0007232249,0.0006963156,63.67
110,1347.90,0.0007418969,0.0007152312,62.85
120,1238.15,0.0008076571,0.0007732909,63.87
130,1150.43,0.0008692395,0.0008371524,64.09
140,1101.18,0.0009081137,0.0008821830,63.91
150,1039.06,0.0009624038,0.0009249746,66.18
160,1018.95,0.0009814007,0.0009057559,61.38
170,984.82,0.0010154141,0.0009910338,61.10
180,926.19,0.0010796907,0.0010435489,58.72
190,879.99,0.0011363732,0.0010894137,55.44
200,860.13,0.0011626174,0.0010852500,56.54
210,848.49,0.0011785707,0.0011581629,55.87
220,845.38,0.0011829019,0.0011578606,53.27
230,835.10,0.0011974675,0.0011744508,53.92
240,827.83,0.0012079822,0.0011873233,57.05
250,825.44,0.0012114691,0.0011215743,58.01
260,823.94,0.0012136803,0.0011974368,56.92
270,818.90,0.0012211490,0.0011955488,56.44
280,802.88,0.0012455092,0.0011827107,57.90
290,802.87,0.0012455310,0.0012201898,56.47
300,802.87,0.0012455310,0.0012283246,57.66
310,802.38,0.0012462884,0.0012211830,55.92
320,798.84,0.0012518193,0.0012260364,54.98
330,798.84,0.0012518193,0.0012350216,52.67
340,793.61,0.0012600585,0.0012355647,53.06
350,793.00,0.0012610269,0.0012452201,53.10
360,792.58,0.0012616970,0.0012427412,57.71
370,790.60,0.0012648630,0.0012306051,63.19
380,774.91,0.0012904704,0.0012574377,52.73
390,772.49,0.0012945149,0.0012662427,52.29
400,772.49,0.0012945149,0.0012712612,54.31
410,772.49,0.0012945149,0.0012471625,52.73
420,772.49,0.0012945149,0.0012519893,50.38
430,772.49,0.0012945149,0.0012333597,52.32
440,772.49,0.0012945149,0.0012447554,52.73
450,772.49,0.0012945149,0.0012358614,51.89
460,772.49,0.0012945149,0.0012387971,50.38
470,772.49,0.0012945149,0.0012381849,50.67
480,769.69,0.0012992323,0.0012550906,50.93
490,767.57,0.0013028120,0.0012501804,49.17
500,767.47,0.0013029822,0.0012652136,51.63
510,767.47,0.0013029822,0.0012681203,51.63
520,767.47,0.0013029822,0.0012662878,50.43
530,766.98,0.0013038138,0.0012752182,50.84
540,766.98,0.0013038138,0.0012713045,49.25
