Wyniki algorytmu genetycznego bez optymalizacji parametrów
=====================================================

Liczba miast: 80
Liczba pokoleń: 1500
Czas wykonania: 25.32 s

Parametry:
  population_size: 100
  elite_size: 20
  mutation_rate: 0.25
  generations: 1500
  tournament_size: 5
  crossover_type: OX
  mutation_type: swap
  selection_type: tournament

Najlepsza długość trasy: 1428.36
Najlepsza wartość funkcji przystosowania: 0.0007001027
Średnia wartość funkcji przystosowania: 0.0003646241

Najlepsza trasa (sekwencja miast):
26, 17, 12, 3, 36, 66, 55, 72, 54, 18, 15, 75, 70, 77, 44, 47, 46, 1, 43, 11, 28, 74, 20, 76, 13, 22, 53, 60, 63, 37, 78, 68, 9, 42, 30, 65, 14, 38, 35, 58, 19, 31, 67, 52, 6, 10, 24, 71, 48, 73, 4, 57, 27, 69, 0, 56, 25, 40, 59, 23, 62, 29, 2, 7, 49, 41, 61, 39, 64, 50, 45, 32, 51, 8, 79, 33, 21, 16, 5, 34

Historia ewolucji (co 10 generacji):
Generacja,Najlepsza długość,Najlepsza funkcja przystosowania,Średnia funkcja przystosowania,Czas generacji (ms)
0,3868.60,0.0002584914,0.0002323877,18.90
10,3142.75,0.0003181929,0.0002902591,12.73
20,2741.03,0.0003648259,0.0003217786,12.65
30,2574.13,0.0003884812,0.0003660629,12.07
40,2424.03,0.0004125356,0.0003841841,12.01
50,2284.72,0.0004376903,0.0004017080,12.22
60,2136.29,0.0004681016,0.0004393133,12.66
70,2082.47,0.0004801980,0.0004536638,14.88
80,2031.74,0.0004921884,0.0004640760,12.16
90,1926.21,0.0005191544,0.0004914119,12.76
100,1864.84,0.0005362399,0.0005092948,12.95
110,1824.28,0.0005481612,0.0005154891,12.62
120,1781.69,0.0005612646,0.0005276185,14.26
130,1739.30,0.0005749434,0.0005368804,12.69
140,1617.04,0.0006184121,0.0005711033,12.64
150,1590.33,0.0006288003,0.0005806648,12.55
160,1572.61,0.0006358856,0.0005971450,12.41
170,1571.08,0.0006365028,0.0006026554,12.95
180,1541.01,0.0006489268,0.0006136420,12.50
190,1532.78,0.0006524073,0.0006099140,12.71
200,1514.74,0.0006601788,0.0006238051,12.99
210,1496.06,0.0006684207,0.0006324723,12.67
220,1490.69,0.0006708313,0.0006402116,12.15
230,1484.52,0.0006736205,0.0006476324,12.62
240,1472.09,0.0006793080,0.0006370165,12.37
250,1469.63,0.0006804436,0.0006428704,12.48
260,1469.63,0.0006804436,0.0006466457,12.48
270,1467.23,0.0006815578,0.0005810629,12.07
280,1457.68,0.0006860234,0.0005714460,13.15
290,1428.36,0.0007001027,0.0005702626,12.62
300,1428.36,0.0007001027,0.0005811973,13.10
310,1428.36,0.0007001027,0.0005318660,13.04
320,1428.36,0.0007001027,0.0005476490,18.13
330,1428.36,0.0007001027,0.0005086184,13.09
340,1428.36,0.0007001027,0.0005100403,14.33
350,1428.36,0.0007001027,0.0004680257,20.48
360,1428.36,0.0007001027,0.0004718725,16.31
370,1428.36,0.0007001027,0.0004350739,17.07
380,1428.36,0.0007001027,0.0004474575,18.95
390,1428.36,0.0007001027,0.0004279058,17.83
400,1428.36,0.0007001027,0.0004257286,17.00
410,1428.36,0.0007001027,0.0004137461,18.09
420,1428.36,0.0007001027,0.0004149264,18.58
430,1428.36,0.0007001027,0.0004058012,21.33
440,1428.36,0.0007001027,0.0003987461,17.72
450,1428.36,0.0007001027,0.0003890136,14.91
460,1428.36,0.0007001027,0.0003921441,18.79
470,1428.36,0.0007001027,0.0003843894,23.50
480,1428.36,0.0007001027,0.0003877953,20.28
490,1428.36,0.0007001027,0.0003707522,14.94
500,1428.36,0.0007001027,0.0003782823,13.97
510,1428.36,0.0007001027,0.0003691289,14.83
520,1428.36,0.0007001027,0.0003672239,14.00
530,1428.36,0.0007001027,0.0003751815,13.25
540,1428.36,0.0007001027,0.0003749061,12.50
550,1428.36,0.0007001027,0.0003687654,12.85
560,1428.36,0.0007001027,0.0003699947,12.23
570,1428.36,0.0007001027,0.0003716463,13.84
580,1428.36,0.0007001027,0.0003640883,13.22
590,1428.36,0.0007001027,0.0003712936,14.57
600,1428.36,0.0007001027,0.0003690815,14.78
610,1428.36,0.0007001027,0.0003728103,13.35
620,1428.36,0.0007001027,0.0003756765,23.71
630,1428.36,0.0007001027,0.0003698891,20.55
640,1428.36,0.0007001027,0.0003706598,17.38
650,1428.36,0.0007001027,0.0003649851,16.88
660,1428.36,0.0007001027,0.0003754181,13.41
670,1428.36,0.0007001027,0.0003683643,13.30
680,1428.36,0.0007001027,0.0003743752,13.73
690,1428.36,0.0007001027,0.0003708381,16.92
700,1428.36,0.0007001027,0.0003689088,23.53
710,1428.36,0.0007001027,0.0003651619,18.47
720,1428.36,0.0007001027,0.0003665152,16.63
730,1428.36,0.0007001027,0.0003668628,15.70
740,1428.36,0.0007001027,0.0003711980,18.07
750,1428.36,0.0007001027,0.0003697755,13.68
760,1428.36,0.0007001027,0.0003655217,13.85
770,1428.36,0.0007001027,0.0003655235,13.24
780,1428.36,0.0007001027,0.0003666188,13.12
790,1428.36,0.0007001027,0.0003706885,13.26
800,1428.36,0.0007001027,0.0003681503,20.06
810,1428.36,0.0007001027,0.0003689379,19.98
820,1428.36,0.0007001027,0.0003769538,13.36
830,1428.36,0.0007001027,0.0003661912,13.25
840,1428.36,0.0007001027,0.0003745892,14.43
850,1428.36,0.0007001027,0.0003717876,12.19
860,1428.36,0.0007001027,0.0003748232,14.47
870,1428.36,0.0007001027,0.0003737591,13.43
880,1428.36,0.0007001027,0.0003691362,13.05
890,1428.36,0.0007001027,0.0003691050,14.90
900,1428.36,0.0007001027,0.0003686016,14.29
910,1428.36,0.0007001027,0.0003714229,12.30
920,1428.36,0.0007001027,0.0003684730,14.91
930,1428.36,0.0007001027,0.0003752019,13.51
940,1428.36,0.0007001027,0.0003722812,14.13
950,1428.36,0.0007001027,0.0003754604,13.22
960,1428.36,0.0007001027,0.0003710351,12.40
970,1428.36,0.0007001027,0.0003700709,13.58
980,1428.36,0.0007001027,0.0003750711,12.65
990,1428.36,0.0007001027,0.0003689778,12.29
1000,1428.36,0.0007001027,0.0003691291,12.58
1010,1428.36,0.0007001027,0.0003765747,13.81
1020,1428.36,0.0007001027,0.0003736003,12.49
1030,1428.36,0.0007001027,0.0003711172,12.06
1040,1428.36,0.0007001027,0.0003655040,12.17
1050,1428.36,0.0007001027,0.0003684911,12.10
1060,1428.36,0.0007001027,0.0003727179,12.97
1070,1428.36,0.0007001027,0.0003700151,12.59
1080,1428.36,0.0007001027,0.0003723267,12.35
1090,1428.36,0.0007001027,0.0003757321,12.45
1100,1428.36,0.0007001027,0.0003692557,12.43
1110,1428.36,0.0007001027,0.0003721710,12.11
1120,1428.36,0.0007001027,0.0003673352,12.15
1130,1428.36,0.0007001027,0.0003726022,12.34
1140,1428.36,0.0007001027,0.0003656492,12.24
1150,1428.36,0.0007001027,0.0003678067,12.32
1160,1428.36,0.0007001027,0.0003705808,14.22
1170,1428.36,0.0007001027,0.0003721791,12.59
1180,1428.36,0.0007001027,0.0003659538,12.26
1190,1428.36,0.0007001027,0.0003683347,11.97
1200,1428.36,0.0007001027,0.0003737326,12.41
1210,1428.36,0.0007001027,0.0003711874,13.11
1220,1428.36,0.0007001027,0.0003752330,12.77
1230,1428.36,0.0007001027,0.0003757283,12.50
1240,1428.36,0.0007001027,0.0003714281,12.50
1250,1428.36,0.0007001027,0.0003687062,17.44
1260,1428.36,0.0007001027,0.0003772496,14.95
1270,1428.36,0.0007001027,0.0003699353,15.09
1280,1428.36,0.0007001027,0.0003731775,14.67
1290,1428.36,0.0007001027,0.0003765082,14.71
1300,1428.36,0.0007001027,0.0003660903,13.79
1310,1428.36,0.0007001027,0.0003616652,12.37
1320,1428.36,0.0007001027,0.0003708240,12.54
1330,1428.36,0.0007001027,0.0003692876,12.58
1340,1428.36,0.0007001027,0.0003693951,11.98
1350,1428.36,0.0007001027,0.0003707263,12.82
1360,1428.36,0.0007001027,0.0003664067,12.25
