order,x,y
0,93.94989,89.48274
1,96.56320,80.83973
2,45.60700,78.51760
3,5.80836,86.61761
4,0.55221,81.54614
5,11.98654,33.76152
6,28.97515,16.12213
7,28.48405,3.68869
8,22.87982,7.69799
9,30.46138,9.76721
10,60.75449,17.05241
11,90.82659,23.95619
12,96.24473,25.17823
13,98.56505,24.20553
14,88.72127,47.22149
15,77.09672,49.37956
16,76.07850,56.12772
17,73.19939,59.86585
18,72.96062,63.75575
19,29.21446,36.63618
20,8.84925,19.59829
21,5.14788,27.86465
22,12.20382,49.51769
23,14.48949,48.94528
24,19.96738,51.42344
25,25.87800,66.25223
26,41.03829,75.55511
27,80.74402,89.60913
28,81.80148,86.07306
29,70.68573,72.90072
30,67.21355,76.16196
31,51.87906,70.30190
32,43.19450,29.12291
33,31.09823,32.51833
34,38.86773,27.13490
35,41.74110,22.21078
36,59.24146,4.64504
37,77.12703,7.40447
38,77.22448,19.87157
39,80.36721,18.65701
40,68.42330,44.01525
41,82.87375,35.67533
42,94.29097,32.32029
43,90.75665,24.92922
44,83.24426,21.23391
45,61.18529,13.94939
46,54.67103,18.48545
47,49.72485,30.08783
48,52.27328,42.75410
49,60.95643,50.26790
50,60.11150,70.80726
51,63.34038,87.14606
52,59.79000,92.18742
53,36.36296,97.17821
54,37.45401,95.07143
55,92.96977,80.81204
56,96.95846,77.51328
57,86.31034,62.32981
58,89.25590,53.93422
59,31.17111,52.00680
60,22.79352,42.71078
61,4.52273,32.53303
62,15.60186,15.59945
63,18.18250,18.34045
64,2.54191,10.78914
65,33.08980,6.35584
66,31.80035,11.00519
67,35.84657,11.58691
68,0.69521,51.07473
69,3.14292,63.64104
70,11.95942,71.32448
71,28.09345,54.26961
72,31.43560,50.85707
73,30.42422,52.47564
74,23.76375,72.82163
75,14.09242,80.21970
76,3.43885,90.93204
77,6.50516,94.88855
78,2.05845,96.99099
79,7.45506,98.68869
80,93.94989,89.48274
