x,y
3.745401188473624643e+01,9.507143064099162189e+01
7.319939418114050511e+01,5.986584841970366000e+01
1.560186404424365136e+01,1.559945203362026511e+01
5.808361216819946549e+00,8.661761457749351223e+01
6.011150117432087825e+01,7.080725777960455503e+01
2.058449429580244683e+00,9.699098521619943369e+01
8.324426408004217137e+01,2.123391106782761639e+01
1.818249672071006273e+01,1.834045098534338081e+01
3.042422429595377054e+01,5.247564316322378630e+01
4.319450186421157412e+01,2.912291401980419181e+01
6.118528947223794745e+01,1.394938606520418389e+01
2.921446485352181455e+01,3.663618432936917202e+01
4.560699842170359375e+01,7.851759613930136084e+01
1.996737821583597494e+01,5.142344384136116275e+01
5.924145688620424721e+01,4.645041271999772903e+00
6.075448519014383919e+01,1.705241236872915422e+01
6.505159298527951606e+00,9.488855372533332400e+01
9.656320330745593594e+01,8.083973481164611030e+01
3.046137691733706987e+01,9.767211400638387886e+00
6.842330265121569255e+01,4.401524937396013115e+01
1.220382348447788345e+01,4.951769101112702032e+01
3.438852111521839561e+00,9.093204020787820241e+01
2.587799816000169173e+01,6.625222843539819451e+01
3.117110760894109589e+01,5.200680211778107775e+01
5.467102793432796659e+01,1.848544555255270438e+01
9.695846277645586042e+01,7.751328233611145890e+01
9.394989415641890673e+01,8.948273504276488666e+01
5.978999788110851199e+01,9.218742350231168814e+01
8.849250205191950158e+00,1.959828624191451851e+01
4.522728891053806599e+00,3.253303307632643282e+01
3.886772896894819951e+01,2.713490317738959234e+01
8.287375091519292880e+01,3.567533266935893010e+01
2.809345096873807535e+01,5.426960831582484701e+01
1.409242249747626374e+01,8.021969807540396857e+01
7.455064367977081830e+00,9.868869366005172594e+01
7.722447692966574095e+01,1.987156815341723970e+01
5.522117123602399147e-01,8.154614284548341629e+01
7.068573438476171589e+01,7.290071680409873522e+01
7.712703466859457535e+01,7.404465173409036538e+00
3.584657285442725794e+01,1.158690595251297140e+01
8.631034258755934729e+01,6.232981268275579367e+01
3.308980248526491863e+01,6.355835028602363934e+00
3.109823217156622022e+01,3.251833220267470637e+01
7.296061783380640975e+01,6.375574713552131101e+01
8.872127425763265762e+01,4.722149251619492816e+01
1.195942459383017109e+01,7.132447872229950292e+01
7.607850486168973703e+01,5.612771975694962379e+01
7.709671799545610327e+01,4.937955963643907609e+01
5.227328293819940797e+01,4.275410183585496071e+01
2.541912674409518846e+00,1.078914269933044423e+01
3.142918568673425117e+00,6.364104112637804178e+01
3.143559810763266782e+01,5.085706911647027795e+01
9.075664739260929537e+01,2.492922291488749309e+01
4.103829230356297586e+01,7.555511385430486371e+01
2.287981654916224628e+01,7.697990982879298727e+00
2.897514529137680128e+01,1.612212872540044373e+01
9.296976523425730932e+01,8.081203795644169929e+01
6.334037565104234346e+01,8.714605901877176564e+01
8.036720768991145292e+01,1.865700588860358522e+01
8.925589984899777107e+01,5.393422419156507175e+01
8.074401551640625030e+01,8.960912999234932386e+01
3.180034749718638665e+01,1.100519245276767677e+01
2.279351625419416649e+01,4.271077886262563084e+01
8.180147659224931544e+01,8.607305832563434933e+01
6.952130531190703344e-01,5.107473025775657050e+01
4.174110031487789740e+01,2.221078104707302359e+01
1.198653673336828085e+01,3.376151714036279827e+01
9.429097039125191770e+01,3.232029320207552558e+01
5.187906217433661027e+01,7.030189588951778035e+01
3.636296023792939991e+01,9.717820827209607160e+01
9.624472949421112844e+01,2.517822958253641730e+01
4.972485058923854240e+01,3.008783098167696579e+01
2.848404943774676212e+01,3.688694735453279527e+00
6.095643339798968441e+01,5.026790232288615101e+01
5.147875124998934737e+00,2.786464642366114219e+01
9.082658859666537410e+01,2.395618906669724169e+01
1.448948720912230925e+01,4.894527602775630015e+01
9.856504541106006911e+01,2.420552715115004005e+01
6.721355474058785262e+01,7.616196153287175719e+01
2.376375439923996780e+01,7.282163486118595586e+01
