best_distance,best_fitness,mean_fitness,time,std_distance,crossover_type,elite_size,mutation_rate,mutation_type,population_size,selection_type,tournament_size
2118.77648015808,0.00047738577964312587,0.00047658261047440543,67.32706797122955,225.66320330280575,CX,25,0.005,insert,250,tournament,5
2284.5639855206055,0.00043790555778715765,0.00032846197649092366,15.865583658218384,46.991393223446266,CX,15,0.005,scramble,100,rank,10
3241.7006219341233,0.00030865056937818517,0.00023906379598508153,4.212375164031982,76.19288603431505,CX,2,0.08,swap,30,roulette,7
1301.0551244795834,0.0007693992757558648,0.0007541233593391348,42.53184270858765,41.751685901493715,CX,20,0.15,inversion,200,tournament,2
1516.6625518677256,0.0006609429372853002,0.0006486204619499221,30.893303990364075,74.63341992161179,CX,20,0.1,inversion,150,rank,10
1670.6958438979045,0.0005995633864453352,0.0005928187170778192,5.2810550928115845,68.58431603555368,PMX,15,0.03,insert,100,tournament,2
2926.518637685959,0.0003417649741369415,0.0002518939313483363,3.612881660461426,39.43027047210376,PMX,5,0.03,scramble,50,roulette,15
2636.7046178889423,0.00037930847881028577,0.00037644214966324637,6.966551780700684,29.408679213734786,CX,25,0.03,insert,50,rank,7
2001.2733710040259,0.0005011817462060769,0.0004748143435238946,39.79937756061554,109.4808039974339,CX,15,0.15,insert,250,roulette,3
3228.41183091282,0.00030974992529935315,0.00023994836432003055,18.795685648918152,1.8361142654368905,PMX,15,0.08,swap,200,roulette,10
940.7169619044851,0.0010630296139213314,0.0010457160514246036,15.295059084892273,2.9731303999987517,PMX,5,0.15,insert,250,tournament,10
1322.7397063537844,0.0007560076651397598,0.000742968795051103,10.70991599559784,1.540856304729914,PMX,20,0.08,insert,200,rank,5
1935.893043818263,0.0005170010309052521,0.0003834008637930234,35.30377554893494,56.70424193741337,CX,5,0.01,swap,150,roulette,10
3315.421344406796,0.0003017241277678672,0.0002464856322689289,4.4779335260391235,61.35733223278339,PMX,5,0.15,swap,50,rank,3
3098.4062624000303,0.00032280286682641356,0.000247153466197356,14.080992221832275,40.91699484182436,PMX,10,0.1,swap,150,tournament,3
2121.9711067887492,0.0004712614324333103,0.000376181709458834,8.218146085739136,3.7621521606304213,CX,2,0.1,scramble,30,tournament,15
2230.0270522204846,0.00044843078742655683,0.0003162684485419526,37.25649356842041,7.97428684701822,CX,25,0.005,scramble,250,rank,15
2261.139634965446,0.0004422664474403299,0.0003072656582629215,17.097099781036377,11.57227245370268,PMX,25,0.01,scramble,250,rank,7
2153.135921610491,0.00046464414851107145,0.000367665741836554,7.09648334980011,45.257444144994906,CX,5,0.1,scramble,30,tournament,7
2339.7410266690395,0.0004279186659079343,0.0003573890703824547,1.134411096572876,81.63566990324102,OX,20,0.08,scramble,50,rank,15
1320.3360804756826,0.0007607301657418615,0.0007545663781823858,10.530184388160706,87.58157990075586,PMX,15,0.1,insert,200,rank,2
1821.847441362476,0.0005512158411734617,0.000548165763697125,0.6429949998855591,118.25660034996713,OX,10,0.1,insert,30,rank,7
2539.6007486737954,0.00039386670545279133,0.0003899270095982784,7.8758639097213745,41.27224505126037,CX,20,0.05,inversion,50,roulette,7
1917.0057126093768,0.0005219224935627772,0.00037340717861594536,5.516586661338806,44.054553014138264,OX,10,0.005,insert,200,roulette,2
1944.6709811913265,0.0005142416227457919,0.0005011088650333943,0.48409199714660645,10.785498059071983,OX,20,0.1,inversion,30,rank,5
3208.921658619314,0.0003119148404786707,0.0002499905542473277,7.945714950561523,96.77223459885317,PMX,20,0.08,swap,100,roulette,2
962.7664812790078,0.001041622737108034,0.0010301032061191227,6.083096027374268,51.229832504429965,OX,10,0.005,inversion,200,tournament,10
2298.387094220471,0.00043513227915622176,0.00029807472469702803,6.920400857925415,23.258519512240355,PMX,20,0.05,swap,100,tournament,3
2103.1876199902727,0.00047548085463401234,0.00046435257029194796,16.07396936416626,10.609400891266205,CX,20,0.15,insert,100,roulette,3
2945.090901428651,0.0003396127672709161,0.0002441985964845721,6.031720519065857,40.64168103506472,OX,2,0.01,scramble,200,rank,5
2233.7647443943897,0.0004478271846797689,0.0004394446177013896,0.5334594249725342,41.216486558055976,OX,25,0.1,inversion,30,tournament,2
2451.9499522453784,0.0004094054911644478,0.0003634702757362337,0.7559653520584106,151.68579229466104,OX,15,0.01,scramble,30,tournament,3
1942.5857571426861,0.0005148309219543156,0.0005052685637776469,8.953284740447998,19.734766150409314,CX,20,0.005,swap,50,rank,5
1523.1239695825093,0.0006586629235208231,0.0005377199102906236,6.889289975166321,86.36150057157079,OX,25,0.05,inversion,250,roulette,7
2338.9328073652123,0.0004275607194843146,0.0002995145291269809,13.590002655982971,13.993125904057251,PMX,20,0.01,scramble,200,rank,7
2272.578986713273,0.00044082587643599956,0.0003190286830959152,5.538286328315735,96.64067103902016,OX,25,0.05,scramble,200,rank,3
1683.3447526677508,0.0005951963930493675,0.0005902602328463492,1.000457525253296,73.70364889001257,OX,20,0.1,insert,50,rank,3
2314.1697283450553,0.00043291479851902234,0.00043291479851902224,10.145414233207703,99.13046501015106,CX,15,0.03,insert,50,tournament,7
3056.4907710773878,0.00032722376446704145,0.0002421321902917542,6.98675262928009,38.22345594747253,OX,10,0.1,swap,150,rank,2
2036.2923324532371,0.0004917693109956088,0.00047460812665386996,45.04998230934143,75.75879871430436,CX,20,0.05,inversion,250,roulette,5
1566.3649172874602,0.0006384786525781578,0.0006319919288516331,2.1082544326782227,14.905477423394814,PMX,20,0.15,insert,50,tournament,10
2704.92929806927,0.0003705117188617077,0.0003634662140532639,2.7836753129959106,126.96291230572501,CX,20,0.15,insert,30,rank,3
2555.4344392950966,0.0003924800397996526,0.00039003438738119303,0.4033222198486328,138.75543816371373,OX,25,0.01,insert,30,rank,3
2553.8829743118717,0.00039208553346146676,0.00037894025231598,9.070790886878967,93.44467825489573,CX,2,0.1,inversion,50,roulette,3
2464.9172488015042,0.0004058560696023987,0.00040568096591219675,21.860816717147827,49.38855572722741,CX,25,0.01,insert,100,tournament,15
2838.196956846933,0.0003523482123891622,0.00024599356724475406,15.285488724708557,16.457387993723387,PMX,2,0.005,inversion,200,roulette,3
1894.4627757937553,0.0005298932365877,0.00035347321119540674,8.565240383148193,117.52002379862347,OX,20,0.03,scramble,250,tournament,3
